collison detect time::   	3.22816		collison pairs time::   	0
collison detect time::   	3.08077		collison pairs time::   	0
collison detect time::   	3.09766		collison pairs time::   	0
collison detect time::   	3.06995		collison pairs time::   	0
collison detect time::   	3.0809		collison pairs time::   	0
collison detect time::   	3.09331		collison pairs time::   	0
collison detect time::   	3.11821		collison pairs time::   	0
collison detect time::   	3.07958		collison pairs time::   	0
collison detect time::   	3.08205		collison pairs time::   	0
collison detect time::   	3.09213		collison pairs time::   	0
collison detect time::   	3.11357		collison pairs time::   	0
collison detect time::   	3.09386		collison pairs time::   	0
collison detect time::   	3.08954		collison pairs time::   	0
collison detect time::   	3.18266		collison pairs time::   	0
collison detect time::   	3.08733		collison pairs time::   	0
collison detect time::   	3.10106		collison pairs time::   	0
collison detect time::   	3.09146		collison pairs time::   	0
collison detect time::   	3.06278		collison pairs time::   	0
collison detect time::   	3.1		collison pairs time::   	0
collison detect time::   	3.09696		collison pairs time::   	0
collison detect time::   	3.10634		collison pairs time::   	0
collison detect time::   	3.0992		collison pairs time::   	0
collison detect time::   	3.23942		collison pairs time::   	0
collison detect time::   	3.23898		collison pairs time::   	0
collison detect time::   	3.09395		collison pairs time::   	0
collison detect time::   	3.11392		collison pairs time::   	0
collison detect time::   	3.09571		collison pairs time::   	0
collison detect time::   	3.0841		collison pairs time::   	0
collison detect time::   	3.09837		collison pairs time::   	0
collison detect time::   	3.08858		collison pairs time::   	0
collison detect time::   	3.09485		collison pairs time::   	0
collison detect time::   	3.0953		collison pairs time::   	0
collison detect time::   	3.16352		collison pairs time::   	0
collison detect time::   	3.07638		collison pairs time::   	0
collison detect time::   	3.16086		collison pairs time::   	0
collison detect time::   	3.15974		collison pairs time::   	0
collison detect time::   	3.0904		collison pairs time::   	0
collison detect time::   	3.06086		collison pairs time::   	0
collison detect time::   	3.10333		collison pairs time::   	0
collison detect time::   	3.09475		collison pairs time::   	0
collison detect time::   	3.09968		collison pairs time::   	0
collison detect time::   	3.26854		collison pairs time::   	0
collison detect time::   	3.1425		collison pairs time::   	0
collison detect time::   	3.07766		collison pairs time::   	0
collison detect time::   	3.21354		collison pairs time::   	0
collison detect time::   	3.24413		collison pairs time::   	0
collison detect time::   	3.08538		collison pairs time::   	0
collison detect time::   	3.06659		collison pairs time::   	0
collison detect time::   	18.3996		collison pairs time::   	0
collison detect time::   	3.33462		collison pairs time::   	0
collison detect time::   	3.09853		collison pairs time::   	0
collison detect time::   	3.07645		collison pairs time::   	0
collison detect time::   	3.11962		collison pairs time::   	0
collison detect time::   	3.0583		collison pairs time::   	0
collison detect time::   	3.10515		collison pairs time::   	0
collison detect time::   	3.1065		collison pairs time::   	0
collison detect time::   	3.17264		collison pairs time::   	0
collison detect time::   	3.07491		collison pairs time::   	0
collison detect time::   	3.28096		collison pairs time::   	0
collison detect time::   	3.22125		collison pairs time::   	0
collison detect time::   	3.10493		collison pairs time::   	0
collison detect time::   	3.12426		collison pairs time::   	0
collison detect time::   	3.10624		collison pairs time::   	0
collison detect time::   	3.07885		collison pairs time::   	0
collison detect time::   	3.1017		collison pairs time::   	0
collison detect time::   	3.35907		collison pairs time::   	0
collison detect time::   	3.24077		collison pairs time::   	0
collison detect time::   	3.09146		collison pairs time::   	0
collison detect time::   	3.10221		collison pairs time::   	0
collison detect time::   	3.09648		collison pairs time::   	0
collison detect time::   	3.116		collison pairs time::   	0
collison detect time::   	3.08733		collison pairs time::   	0
collison detect time::   	3.30816		collison pairs time::   	0
collison detect time::   	3.25523		collison pairs time::   	0
collison detect time::   	3.2624		collison pairs time::   	0
collison detect time::   	3.23181		collison pairs time::   	0
collison detect time::   	3.1072		collison pairs time::   	0
collison detect time::   	3.09846		collison pairs time::   	0
collison detect time::   	3.18288		collison pairs time::   	0
collison detect time::   	3.29059		collison pairs time::   	0
collison detect time::   	3.10259		collison pairs time::   	0
collison detect time::   	3.1047		collison pairs time::   	0
collison detect time::   	3.0944		collison pairs time::   	0
collison detect time::   	3.29034		collison pairs time::   	0
collison detect time::   	3.10016		collison pairs time::   	0
collison detect time::   	3.11632		collison pairs time::   	0
collison detect time::   	3.27165		collison pairs time::   	0
collison detect time::   	3.18957		collison pairs time::   	0
collison detect time::   	3.15536		collison pairs time::   	0
collison detect time::   	3.07837		collison pairs time::   	0
collison detect time::   	3.10262		collison pairs time::   	0
collison detect time::   	3.08698		collison pairs time::   	0
collison detect time::   	3.11139		collison pairs time::   	0
collison detect time::   	3.09379		collison pairs time::   	0
collison detect time::   	3.10419		collison pairs time::   	0
collison detect time::   	3.10378		collison pairs time::   	0
collison detect time::   	3.12061		collison pairs time::   	0
collison detect time::   	3.10838		collison pairs time::   	0
collison detect time::   	3.09606		collison pairs time::   	0
collison detect time::   	3.07949		collison pairs time::   	0
collison detect time::   	3.10218		collison pairs time::   	0
collison detect time::   	3.10816		collison pairs time::   	0
collison detect time::   	3.10538		collison pairs time::   	0
collison detect time::   	3.07619		collison pairs time::   	0
collison detect time::   	3.09933		collison pairs time::   	0
collison detect time::   	3.08477		collison pairs time::   	0
collison detect time::   	3.0751		collison pairs time::   	0
collison detect time::   	3.06102		collison pairs time::   	0
collison detect time::   	3.14982		collison pairs time::   	0
collison detect time::   	3.08829		collison pairs time::   	0
collison detect time::   	3.09283		collison pairs time::   	0
collison detect time::   	3.09165		collison pairs time::   	0
collison detect time::   	3.10656		collison pairs time::   	0
collison detect time::   	3.0807		collison pairs time::   	0
collison detect time::   	3.10941		collison pairs time::   	0
collison detect time::   	3.11392		collison pairs time::   	0
collison detect time::   	3.10211		collison pairs time::   	0
collison detect time::   	3.08842		collison pairs time::   	0
