collison detect time::   	8.68051		collison pairs::   	0
collison detect time::   	8.34189		collison pairs::   	0
collison detect time::   	8.49558		collison pairs::   	0
collison detect time::   	8.3641		collison pairs::   	0
collison detect time::   	9.17907		collison pairs::   	0
collison detect time::   	8.34794		collison pairs::   	0
collison detect time::   	9.95869		collison pairs::   	0
collison detect time::   	8.37302		collison pairs::   	0
collison detect time::   	10.6834		collison pairs::   	0
collison detect time::   	8.37984		collison pairs::   	0
collison detect time::   	11.7119		collison pairs::   	0
collison detect time::   	8.38211		collison pairs::   	0
collison detect time::   	12.4075		collison pairs::   	0
collison detect time::   	8.36918		collison pairs::   	0
collison detect time::   	8.3695		collison pairs::   	0
collison detect time::   	8.37821		collison pairs::   	0
collison detect time::   	9.02266		collison pairs::   	0
collison detect time::   	8.38022		collison pairs::   	0
collison detect time::   	9.80272		collison pairs::   	0
collison detect time::   	8.37222		collison pairs::   	0
collison detect time::   	9.53878		collison pairs::   	0
collison detect time::   	8.71606		collison pairs::   	4
collison detect time::   	38.5539		collison pairs::   	30
collison detect time::   	9.05126		collison pairs::   	232
collison detect time::   	9.34608		collison pairs::   	578
collison detect time::   	9.0679		collison pairs::   	342
collison detect time::   	9.36973		collison pairs::   	354
collison detect time::   	9.12032		collison pairs::   	480
collison detect time::   	9.40717		collison pairs::   	658
collison detect time::   	10.0586		collison pairs::   	1008
collison detect time::   	10.5207		collison pairs::   	1066
collison detect time::   	9.23862		collison pairs::   	730
collison detect time::   	10.0568		collison pairs::   	908
collison detect time::   	10.2859		collison pairs::   	1216
collison detect time::   	10.1809		collison pairs::   	1540
collison detect time::   	10.2155		collison pairs::   	1736
collison detect time::   	11.1605		collison pairs::   	1382
collison detect time::   	10.2662		collison pairs::   	1888
collison detect time::   	11.7994		collison pairs::   	1662
collison detect time::   	10.3734		collison pairs::   	1974
collison detect time::   	11.2083		collison pairs::   	2092
collison detect time::   	10.471		collison pairs::   	2312
collison detect time::   	12.0347		collison pairs::   	2334
collison detect time::   	11.3414		collison pairs::   	2286
collison detect time::   	10.5821		collison pairs::   	2440
collison detect time::   	10.544		collison pairs::   	2606
collison detect time::   	10.5316		collison pairs::   	2422
collison detect time::   	10.5974		collison pairs::   	2368
collison detect time::   	10.7777		collison pairs::   	2520
collison detect time::   	10.7506		collison pairs::   	2650
collison detect time::   	10.7284		collison pairs::   	2628
collison detect time::   	10.7695		collison pairs::   	2796
collison detect time::   	11.0361		collison pairs::   	2818
collison detect time::   	10.8191		collison pairs::   	2918
collison detect time::   	10.9489		collison pairs::   	2970
collison detect time::   	11.0291		collison pairs::   	3170
collison detect time::   	11.1081		collison pairs::   	3306
collison detect time::   	11.1134		collison pairs::   	3522
