collison detect time::   	12.9002		collison pairs::   	0
collison detect time::   	12.2415		collison pairs::   	0
collison detect time::   	12.4645		collison pairs::   	0
collison detect time::   	12.2404		collison pairs::   	0
collison detect time::   	12.2949		collison pairs::   	0
collison detect time::   	12.2557		collison pairs::   	0
collison detect time::   	12.2032		collison pairs::   	0
collison detect time::   	12.2194		collison pairs::   	0
collison detect time::   	12.1788		collison pairs::   	0
collison detect time::   	12.1461		collison pairs::   	0
collison detect time::   	12.266		collison pairs::   	0
collison detect time::   	12.1484		collison pairs::   	0
collison detect time::   	12.1831		collison pairs::   	0
collison detect time::   	12.134		collison pairs::   	0
collison detect time::   	14.6361		collison pairs::   	0
collison detect time::   	12.0756		collison pairs::   	0
collison detect time::   	12.1904		collison pairs::   	0
collison detect time::   	12.3716		collison pairs::   	0
collison detect time::   	12.5853		collison pairs::   	0
collison detect time::   	12.0369		collison pairs::   	0
collison detect time::   	12.1431		collison pairs::   	0
collison detect time::   	12.0691		collison pairs::   	0
collison detect time::   	12.7514		collison pairs::   	0
collison detect time::   	12.1983		collison pairs::   	0
collison detect time::   	11.9476		collison pairs::   	0
collison detect time::   	12.0043		collison pairs::   	0
collison detect time::   	12.7222		collison pairs::   	0
collison detect time::   	12.5611		collison pairs::   	0
collison detect time::   	11.9499		collison pairs::   	0
collison detect time::   	11.9239		collison pairs::   	0
collison detect time::   	12.0214		collison pairs::   	0
collison detect time::   	11.9211		collison pairs::   	0
collison detect time::   	11.8262		collison pairs::   	0
collison detect time::   	12.0183		collison pairs::   	0
collison detect time::   	11.8489		collison pairs::   	0
collison detect time::   	12.6836		collison pairs::   	0
collison detect time::   	11.8512		collison pairs::   	0
collison detect time::   	11.9205		collison pairs::   	0
collison detect time::   	12.1571		collison pairs::   	0
collison detect time::   	12.1154		collison pairs::   	0
collison detect time::   	11.9639		collison pairs::   	0
collison detect time::   	11.9439		collison pairs::   	0
collison detect time::   	11.9429		collison pairs::   	0
collison detect time::   	12.3699		collison pairs::   	0
collison detect time::   	11.8948		collison pairs::   	0
collison detect time::   	12.067		collison pairs::   	0
collison detect time::   	12.03		collison pairs::   	0
collison detect time::   	11.9341		collison pairs::   	0
collison detect time::   	11.9723		collison pairs::   	0
collison detect time::   	11.8067		collison pairs::   	0
collison detect time::   	12.1064		collison pairs::   	0
collison detect time::   	12.0718		collison pairs::   	0
collison detect time::   	12.2848		collison pairs::   	0
collison detect time::   	12.192		collison pairs::   	0
collison detect time::   	12.3123		collison pairs::   	0
collison detect time::   	12.0044		collison pairs::   	0
collison detect time::   	12.0386		collison pairs::   	0
collison detect time::   	12.0386		collison pairs::   	0
collison detect time::   	12.409		collison pairs::   	0
collison detect time::   	12.0222		collison pairs::   	0
collison detect time::   	12.0538		collison pairs::   	0
collison detect time::   	12.0237		collison pairs::   	0
collison detect time::   	12.9867		collison pairs::   	0
collison detect time::   	12.1394		collison pairs::   	0
collison detect time::   	12.1783		collison pairs::   	0
collison detect time::   	12.1903		collison pairs::   	0
collison detect time::   	12.2065		collison pairs::   	0
collison detect time::   	12.1397		collison pairs::   	0
collison detect time::   	12.1571		collison pairs::   	0
collison detect time::   	12.0519		collison pairs::   	0
collison detect time::   	12.2209		collison pairs::   	0
collison detect time::   	12.1288		collison pairs::   	0
collison detect time::   	12.2641		collison pairs::   	0
collison detect time::   	12.2786		collison pairs::   	0
collison detect time::   	12.0264		collison pairs::   	0
collison detect time::   	12.0504		collison pairs::   	0
collison detect time::   	12.7234		collison pairs::   	0
collison detect time::   	12.6799		collison pairs::   	0
collison detect time::   	12.1434		collison pairs::   	0
collison detect time::   	12.0519		collison pairs::   	0
collison detect time::   	16.0081		collison pairs::   	0
collison detect time::   	12.1695		collison pairs::   	0
collison detect time::   	12.1839		collison pairs::   	0
collison detect time::   	12.0595		collison pairs::   	0
collison detect time::   	12.9838		collison pairs::   	0
collison detect time::   	12.146		collison pairs::   	0
collison detect time::   	12.0853		collison pairs::   	0
collison detect time::   	12.1435		collison pairs::   	0
collison detect time::   	12.0191		collison pairs::   	0
collison detect time::   	12.3285		collison pairs::   	0
collison detect time::   	12.115		collison pairs::   	0
collison detect time::   	12.3619		collison pairs::   	0
collison detect time::   	12.0881		collison pairs::   	0
collison detect time::   	12.0327		collison pairs::   	0
collison detect time::   	12.8395		collison pairs::   	0
collison detect time::   	12.9927		collison pairs::   	0
collison detect time::   	12.0643		collison pairs::   	0
collison detect time::   	12.0772		collison pairs::   	0
collison detect time::   	12.0668		collison pairs::   	0
collison detect time::   	12.0185		collison pairs::   	0
collison detect time::   	12.113		collison pairs::   	0
collison detect time::   	12.0335		collison pairs::   	0
collison detect time::   	12.006		collison pairs::   	0
collison detect time::   	12.0755		collison pairs::   	0
collison detect time::   	12.6843		collison pairs::   	0
collison detect time::   	12.0206		collison pairs::   	0
collison detect time::   	12.2709		collison pairs::   	2
collison detect time::   	12.3045		collison pairs::   	4
collison detect time::   	12.5168		collison pairs::   	8
collison detect time::   	12.379		collison pairs::   	18
collison detect time::   	12.4348		collison pairs::   	14
collison detect time::   	12.4176		collison pairs::   	18
collison detect time::   	12.3527		collison pairs::   	18
collison detect time::   	12.5598		collison pairs::   	42
collison detect time::   	13.4844		collison pairs::   	62
collison detect time::   	12.8176		collison pairs::   	92
collison detect time::   	12.5508		collison pairs::   	128
collison detect time::   	13.1201		collison pairs::   	166
collison detect time::   	12.7578		collison pairs::   	206
collison detect time::   	12.7121		collison pairs::   	232
collison detect time::   	13.3887		collison pairs::   	266
collison detect time::   	12.4974		collison pairs::   	310
collison detect time::   	13.0629		collison pairs::   	316
collison detect time::   	13.4336		collison pairs::   	358
collison detect time::   	12.5399		collison pairs::   	390
collison detect time::   	12.4947		collison pairs::   	400
collison detect time::   	12.8313		collison pairs::   	410
collison detect time::   	13.5984		collison pairs::   	418
collison detect time::   	12.8438		collison pairs::   	456
collison detect time::   	12.6612		collison pairs::   	446
collison detect time::   	12.7991		collison pairs::   	468
collison detect time::   	12.9128		collison pairs::   	494
collison detect time::   	13.7444		collison pairs::   	488
collison detect time::   	13.5326		collison pairs::   	492
collison detect time::   	13.6223		collison pairs::   	468
collison detect time::   	13.5956		collison pairs::   	492
collison detect time::   	12.7696		collison pairs::   	532
collison detect time::   	12.7085		collison pairs::   	554
collison detect time::   	13.587		collison pairs::   	494
collison detect time::   	12.8426		collison pairs::   	470
collison detect time::   	12.8034		collison pairs::   	430
collison detect time::   	12.7818		collison pairs::   	414
collison detect time::   	13.503		collison pairs::   	414
collison detect time::   	13.5702		collison pairs::   	400
collison detect time::   	13.6499		collison pairs::   	366
collison detect time::   	13.5679		collison pairs::   	352
collison detect time::   	15.4633		collison pairs::   	380
collison detect time::   	12.7413		collison pairs::   	434
collison detect time::   	13.7688		collison pairs::   	460
collison detect time::   	13.6819		collison pairs::   	436
collison detect time::   	12.8473		collison pairs::   	470
collison detect time::   	12.8078		collison pairs::   	516
collison detect time::   	12.7492		collison pairs::   	580
collison detect time::   	12.8929		collison pairs::   	606
collison detect time::   	12.7503		collison pairs::   	630
collison detect time::   	12.8575		collison pairs::   	668
collison detect time::   	12.8722		collison pairs::   	712
collison detect time::   	12.8965		collison pairs::   	734
collison detect time::   	12.8887		collison pairs::   	706
collison detect time::   	12.7488		collison pairs::   	674
collison detect time::   	13.2027		collison pairs::   	702
collison detect time::   	12.9006		collison pairs::   	678
collison detect time::   	12.8983		collison pairs::   	596
collison detect time::   	12.9653		collison pairs::   	536
collison detect time::   	12.8052		collison pairs::   	450
collison detect time::   	12.722		collison pairs::   	400
collison detect time::   	13.3333		collison pairs::   	376
collison detect time::   	13.0343		collison pairs::   	376
collison detect time::   	13.5449		collison pairs::   	338
collison detect time::   	12.8466		collison pairs::   	336
collison detect time::   	12.9854		collison pairs::   	328
collison detect time::   	13.9197		collison pairs::   	256
collison detect time::   	13.0227		collison pairs::   	248
collison detect time::   	13.8128		collison pairs::   	222
